sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,,sequence.isolate,,,
AB093427,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ubolrathchathani,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,18NE,,,
AB093428,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ubolrathchathani,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,18NE,,,
AB093429,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,19NE,,,
AB093430,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,19NE,,,
AB093431,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mukdaharn,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,20NE,,,
AB093432,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mukdaharn,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,20NE,,,
AB093433,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mahasarakam,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,21NE,,,
AB093434,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mahasarakam,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,21NE,,,
AB093435,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Umnahtcharoen,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,22NE,,,
AB093436,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Umnahtcharoen,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,22NE,,,
AB093437,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mukdaharn,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,24NE,,,
AB093438,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mukdaharn,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,24NE,,,
AB093439,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ubolrathchathani,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,25NE,,,
AB093440,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ubolrathchathani,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,25NE,,,
AB093441,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,26NE,,,
AB093442,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,26NE,,,
AB093443,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mukdaharn,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,27NE,,,
AB093444,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mukdaharn,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,27NE,,,
AB093445,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mukdaharn,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,28NE,,,
AB093446,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Mukdaharn,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,28NE,,,
AB093447,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ghaiyapoom,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,29NE,,,
AB093448,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ghaiyapoom,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,29NE,,,
AB093449,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ubolrathchathani,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,30NE,,,
AB093450,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ubolrathchathani,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,30NE,,,
AB093451,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ubolrathchathani,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,31NE,,,
AB093452,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ubolrathchathani,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,31NE,,,
AB093453,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,32NE,,,
AB093454,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,32NE,,,
AB093455,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Khalasin,2000,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,33NE,,,
AB093456,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Khalasin,2000,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,33NE,,,
AB093457,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,2000,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,34NE,,,
AB093458,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,2000,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,34NE,,,
AB093459,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,2000,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,35NE,,,
AB093460,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Konkaen,2000,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,35NE,,,
AB093461,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ghaiyapoom,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,36NE,,,
AB093462,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ghaiyapoom,1999,-,2002,272,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,36NE,,,
AB093463,AL_Asian_SEA3,Asian SEA3,THA,Thailand,Ghaiyapoom,1999,-,2002,240,11-Oct-02,23-Jul-16,Canis lupus familiaris,14584612,,37NE,,,
